0.0001005,1120981.8365640
0.0001015,1099556.8845769
0.0001026,1078565.3047091
0.0001036,1058001.6219327
0.0001047,1037827.5157709
0.0001058,1018033.6486383
0.0001069,998642.6306832
0.0001080,979644.6123294
0.0001091,961028.4748666
0.0001103,942746.6555412
0.0001114,924818.9809661
0.0001126,907266.4451898
0.0001138,890036.9010169
0.0001150,873149.4690878
0.0001162,856624.3827705
0.0001174,840364.9171277
0.0001186,824467.0485312
0.0001198,808866.2067746
0.0001211,793567.4026342
0.0001223,778567.1944022
0.0001236,763861.5171541
0.0001249,749441.2219601
0.0001262,735300.6021020
0.0001275,721437.7595780
0.0001288,707840.9713581
0.0001302,694511.5725145
0.0001315,681440.9788934
0.0001329,668624.5759239
0.0001343,656057.0893751
0.0001357,643732.5402720
0.0001371,631649.4357844
0.0001385,619795.2076167
0.0001400,608177.7992979
0.0001414,596783.3226133
0.0001429,585607.8420723
0.0001444,574646.8626387
0.0001459,563901.1585742
0.0001474,553359.3562226
0.0001490,543027.2381325
0.0001505,532892.1673901
0.0001521,522946.6213631
0.0001537,513201.6188027
0.0001553,503642.5250372
0.0001569,494266.7393297
0.0001585,485071.2500727
0.0001602,476052.6058161
0.0001619,467206.8851583
0.0001635,458529.6654660
0.0001652,450023.3420650
0.0001670,441675.3173458
0.0001687,433494.7367152
0.0001705,425467.9310656
0.0001722,417595.8452248
0.0001740,409871.2503595
0.0001758,402294.4186934
0.0001777,394865.4776641
0.0001795,387584.3952851
0.0001814,380433.5722630
0.0001833,373420.4918851
0.0001852,366544.0344805
0.0001871,359793.6431145
0.0001891,353176.5464987
0.0001911,346690.8341833
0.0001930,340324.5752448
0.0001950,334074.6955449
0.0001971,327947.8488574
0.0001991,321940.7830579
0.0002012,316039.3919131
0.0002033,310260.3692460
0.0002054,304588.9568052
0.0002076,299020.2134804
0.0002097,293559.9821352
0.0002119,288202.9509075
0.0002141,282943.2887552
0.0002164,277786.5265464
0.0002186,272726.3704321
0.0002209,267768.2973146
0.0002232,262892.9144041
0.0002255,258117.7253508
0.0002279,253430.1177605
0.0002302,248831.0526067
0.0002326,244318.7593903
0.0002351,239892.6180735
0.0002375,235547.6533863
0.0002400,231285.5794358
0.0002425,227103.7791707
0.0002450,223000.8342222
0.0002476,218973.6228305
0.0002501,215023.3230253
0.0002528,211146.4172127
0.0002554,207342.2354955
0.0002581,203609.9795059
0.0002607,199947.0584333
0.0002635,196352.2977700
0.0002662,192824.3623057
0.0002690,189363.4927575
0.0002718,185966.3173366
0.0002746,182632.7673717
0.0002775,179360.8567823
0.0002804,176152.1421533
0.0002833,173000.5781102
0.0002862,169909.3448562
0.0002892,166873.8648986
0.0002922,163895.2174248
0.0002953,160972.4468068
0.0002984,158104.4668282
0.0003015,155287.9217739
0.0003046,152525.6610687
0.0003078,149811.8540366
0.0003110,147151.4298506
0.0003142,144538.1805895
0.0003175,141972.3809442
0.0003208,139456.6499513
0.0003242,136984.0856237
0.0003275,134559.5263387
0.0003309,132178.1048914
0.0003344,129842.1948626
0.0003379,127549.1090781
0.0003414,125295.9178441
0.0003450,123087.4999909
0.0003485,120915.3645138
0.0003522,118787.0723474
0.0003559,116696.5173093
0.0003596,114642.8780137
0.0003633,112628.1738211
0.0003671,110648.5515730
0.0003709,108705.9278973
0.0003748,106799.2239706
0.0003787,104927.2449144
0.0003826,103091.8823858
0.0003866,101285.3279616
0.0003907,99515.7998945
0.0003947,97775.1577493
0.0003988,96068.4155958
0.0004030,94390.4024316
0.0004072,92746.2449010
0.0004114,91130.5147971
0.0004157,89541.0561758
0.0004201,87983.0532939
0.0004244,86454.3800086
0.0004289,84952.7252439
0.0004333,83475.5838315
0.0004378,82028.3134874
0.0004424,80605.1353917
0.0004470,79208.1835809
0.0004517,77836.3198540
0.0004564,76489.5965056
0.0004611,75166.7239708
0.0004659,73867.6400096
0.0004708,72592.2544988
0.0004757,71339.0559316
0.0004807,70108.7621939
0.0004857,68900.6795748
0.0004907,67714.0425387
0.0004959,66548.5068576
0.0005010,65404.1889604
0.0005062,64280.1632693
0.0005115,63175.9418565
0.0005168,62091.5156503
0.0005222,61026.8556655
0.0005277,59980.8081527
0.0005332,58953.2414890
0.0005387,57943.9969474
0.0005443,56952.8867643
0.0005500,55979.1011282
0.0005557,55022.9585811
0.0005615,54083.5597007
0.0005674,53160.5474327
0.0005733,52254.1569942
0.0005793,51363.9801124
0.0005853,50489.5638363
0.0005914,49630.4079869
0.0005976,48785.9625127
0.0006038,47957.0044980
0.0006101,47142.2455843
0.0006165,46342.4346925
0.0006229,45556.1804732
0.0006294,44784.1969557
0.0006359,44024.9804271
0.0006425,43279.9672070
0.0006492,42547.5706927
0.0006560,41828.4536273
0.0006628,41121.7036130
0.0006697,40427.1508916
0.0006767,39744.6025037
0.0006838,39073.8408238
0.0006909,38415.4832699
0.0006981,37768.4265781
0.0007054,37132.3705478
0.0007127,36507.8901582
0.0007202,35893.7461642
0.0007277,35290.4782084
0.0007353,34697.7000831
0.0007429,34114.9888190
0.0007506,33542.8690689
0.0007585,32980.8888998
0.0007664,32427.5350198
0.0007744,31885.3318360
0.0007824,31351.6922113
0.0007906,30827.0608740
0.0007988,30311.9055675
0.0008071,29804.4976327
0.0008156,29307.4973092
0.0008241,28817.9991103
0.0008326,28337.5593497
0.0008413,27865.4592978
0.0008501,27400.9226203
0.0008590,26944.3405117
0.0008679,26496.1241952
0.0008769,26055.4356617
0.0008861,25622.4050867
0.0008953,25196.6394817
0.0009047,24778.2463082
0.0009141,24366.9264607
